Vehicle ID,Vehicle Type,Make & Model,Year of Manufacture,Fuel Type,Odometer Reading (km),Last Service Date,Next Service Due Date,Fuel Efficiency (km/l),Driver ID,Driver Experience (Years),Region of Operation,Trip Distance (km),Trip Duration (hrs),Average Speed (km/h),Fuel Consumption (liters),Fuel Cost (per trip),Total Maintenance Cost (YTD),Breakdowns Reported (YTD),Insurance Expiry Date,CO2 Emissions (g/km),Vehicle Status,Route Risk Level,Idle Time (hrs/month),Number of Trips (YTD)
VH-13549,Truck,Mercedes Actros,2005,Hybrid,49350,2024-11-11,2025-01-09,13.57,DR-4278,15,East,16.61,0.19,87.42,1.22,1.87,8608.48,3,2025-08-25,166.16,Decommissioned,High,44.8,114
VH-13550,Truck,Mercedes Actros,2006,Hybrid,214650,2024-12-31,2025-05-22,11.07,DR-5795,24,South,135.84,1.25,108.67,12.27,27.69,6482.08,4,2025-07-11,145.11,Decommissioned,Medium,27.59,150
VH-13551,Truck,Scania R,2011,Petrol,401361,2024-04-09,2024-06-29,4.18,DR-9556,6,South,973.46,8.63,112.8,232.89,615.83,2783.63,3,2025-07-01,188.56,Decommissioned,High,40.12,182
VH-13552,Truck,Mercedes Actros,2020,Petrol,471863,2024-04-14,2024-07-10,19.17,DR-8679,23,South,947.36,9.03,104.91,49.42,158.66,3581.63,1,2025-12-09,388.63,In Repair,Medium,23.29,349
VH-13553,Motorcycle,Honda CB500X,2010,Petrol,140111,2024-06-22,2024-08-24,4.64,DR-1183,25,West,462.32,8.3,55.7,99.64,197.47,6793.14,5,2025-06-27,333.88,In Repair,Low,34,747
VH-13554,Bus,Mercedes Citaro,2022,Petrol,348569,2024-07-11,2024-11-04,5.11,DR-9960,7,North,372.42,3.57,104.32,72.88,216.04,7102.31,2,2025-04-05,385.06,In Repair,High,17.61,931
VH-13555,Car,Toyota Corolla,2021,Petrol,352602,2024-06-17,2024-10-17,19.71,DR-9634,30,North,781.03,6.64,117.62,39.63,102.09,5798.67,10,2025-06-21,359.03,In Repair,Medium,42.95,436
VH-13556,Van,Renault Trafic,2017,Hybrid,541688,2024-02-28,2024-05-24,4.32,DR-2967,30,Central,642.3,6.62,97.02,148.68,293.44,6405.64,8,2025-05-05,210.93,Active,Medium,31.94,819
VH-13557,Truck,Mercedes Actros,2015,Electric,535826,2024-08-17,2024-12-09,14.45,DR-4270,7,South,132.72,3.09,42.95,9.18,16.32,8199.34,9,2026-02-23,92.07,Active,Medium,35.64,123
VH-13558,Van,Mercedes Sprinter,2023,Petrol,558021,2024-09-21,2025-03-10,17.66,DR-7055,25,West,398.31,4.77,83.5,22.55,37.48,1529.93,2,2025-04-06,189.08,Decommissioned,Low,12.9,531
VH-13559,Car,Ford Focus,2010,Petrol,378883,2024-03-12,2024-05-08,13.9,DR-9088,16,South,529.65,8.91,59.44,38.1,133.22,6040.24,5,2025-06-30,164.81,Decommissioned,High,46.47,460
VH-13560,Bus,Mercedes Citaro,2024,Diesel,383690,2024-05-10,2024-10-04,15.66,DR-3341,31,North,217.15,2.63,82.57,13.87,25.79,7845.26,1,2025-08-12,70.03,Decommissioned,High,22.71,517
VH-13561,Van,Renault Trafic,2022,Petrol,301732,2024-05-31,2024-09-27,15.21,DR-8584,17,South,133.51,2.05,65.13,8.78,13.07,6142.68,4,2025-07-19,330.2,In Repair,Medium,42.45,596
VH-13562,Bus,Mercedes Citaro,2012,Diesel,60718,2024-03-28,2024-09-18,17.57,DR-8658,34,East,44.99,1.01,44.54,2.56,6.82,9040.07,5,2025-09-28,298.08,Decommissioned,Low,12.06,731
VH-13563,Truck,Scania R,2006,Electric,324526,2024-12-21,2025-06-16,20.42,DR-2625,18,East,845.94,8.88,95.26,41.43,134.54,683.05,1,2025-06-15,70.19,In Repair,High,14.32,690
VH-13564,Van,Renault Trafic,2007,Petrol,215012,2025-01-14,2025-05-23,12.13,DR-5050,23,East,844.35,41.52,20.34,69.61,182.99,3234.17,6,2025-07-01,233.22,In Repair,Low,34.92,266
VH-13565,Truck,Mercedes Actros,2017,Diesel,497750,2024-11-11,2025-01-10,22.86,DR-9143,3,East,327.67,14.01,23.39,14.33,42.01,2987.34,5,2026-02-18,345.55,Active,Medium,36.91,763
VH-13566,Bus,Scania Citywide,2014,Diesel,455320,2024-04-05,2024-05-25,22.25,DR-7777,20,Central,458.11,6.05,75.72,20.59,46.9,766.05,0,2025-12-24,375.02,Active,High,49.24,231
VH-13567,Truck,Volvo FH,2018,Diesel,372739,2024-11-20,2025-03-15,6.09,DR-7302,4,Central,33.91,0.5,67.82,5.57,17.29,6977.04,9,2025-12-22,148.98,Decommissioned,Low,23.18,826
VH-13568,Motorcycle,Honda CB500X,2020,Diesel,114478,2024-06-13,2024-07-28,22.38,DR-3793,6,South,996.44,11.92,83.59,44.52,74.52,6863.9,10,2026-02-22,293.48,In Repair,Medium,26.17,563
VH-13569,Van,Renault Trafic,2018,Hybrid,62263,2024-10-18,2025-01-16,14.44,DR-5813,8,Central,918.93,11.19,82.12,63.64,170.15,7523.96,3,2025-04-04,344.17,Active,High,21.91,180
VH-13570,Motorcycle,Kawasaki Z650,2008,Petrol,579094,2024-12-04,2025-05-19,15.76,DR-8282,29,West,630.49,5.37,117.41,40.01,58.68,8512.38,9,2025-06-22,121.76,In Repair,Medium,8.32,292
VH-13571,Truck,Volvo FH,2019,Hybrid,193946,2024-10-31,2025-01-11,23.68,DR-8586,2,North,120.97,1.12,108.01,5.11,8.51,790.63,5,2025-09-01,277.36,In Repair,High,18.96,874
VH-13572,Car,Honda Civic,2020,Hybrid,110780,2025-01-25,2025-06-19,10.84,DR-5161,26,East,55.76,0.95,58.69,5.14,14.49,9485.44,5,2025-04-06,143.97,Decommissioned,Medium,39.23,993
VH-13573,Car,Ford Focus,2011,Electric,75583,2024-03-12,2024-07-02,19.9,DR-4141,17,South,345.61,6.03,57.32,17.37,46.48,7373.26,1,2025-06-29,244.18,Decommissioned,High,32.37,655
VH-13574,Car,Toyota Corolla,2015,Electric,87930,2024-11-03,2025-04-10,15.27,DR-4919,9,Central,386.64,3.45,112.07,25.32,55.97,5827.73,10,2025-08-07,269.77,In Repair,High,36.61,132
VH-13575,Van,Mercedes Sprinter,2012,Electric,458814,2025-01-06,2025-04-20,6.79,DR-2005,28,Central,652.96,18.87,34.6,96.16,252.42,3939.12,9,2025-04-30,169.03,Decommissioned,High,40.85,784
VH-13576,Bus,Scania Citywide,2019,Diesel,240145,2024-09-23,2024-12-08,5.8,DR-9732,32,West,186.08,3.03,61.41,32.08,62.82,5710.61,8,2025-09-28,135.61,In Repair,High,21.87,920
VH-13577,Van,Mercedes Sprinter,2013,Hybrid,149643,2024-12-04,2025-06-01,12.64,DR-6060,13,North,301.61,5.49,54.94,23.86,37.37,9898.17,7,2025-12-23,52.86,In Repair,High,33.72,916
VH-13578,Van,Mercedes Sprinter,2023,Petrol,572173,2024-03-24,2024-06-21,16.12,DR-2933,25,South,905.16,18.42,49.14,56.15,117.32,6123.29,1,2025-08-25,82.89,Active,High,10.83,481
VH-13579,Bus,Mercedes Citaro,2020,Diesel,239235,2024-06-16,2024-09-12,15.66,DR-8651,5,West,182.43,2.76,66.1,11.65,19.78,8212.49,2,2025-11-24,138.37,In Repair,High,30.15,335
VH-13580,Truck,Scania R,2012,Diesel,107642,2024-03-23,2024-08-18,9.87,DR-9222,34,South,277.97,2.63,105.69,28.16,61.56,1260.72,2,2025-09-25,257.03,In Repair,Medium,42.52,54
VH-13581,Van,Mercedes Sprinter,2008,Petrol,544761,2024-05-26,2024-10-06,16.92,DR-8097,7,East,805.39,27.78,28.99,47.6,110.09,5385.35,9,2025-08-12,358.48,Decommissioned,Low,24.64,402
VH-13582,Van,Ford Transit,2016,Electric,446468,2024-09-12,2025-01-14,13.82,DR-4581,35,North,171.75,1.59,108.02,12.43,27.63,1865.88,0,2025-06-29,382.76,Active,Low,21.86,117
VH-13583,Car,Toyota Corolla,2022,Electric,190363,2024-09-11,2025-01-31,20.17,DR-1448,23,West,158.23,1.96,80.73,7.84,25.01,4263.81,8,2025-06-30,330.62,Active,Medium,10.41,56
VH-13584,Bus,Mercedes Citaro,2014,Hybrid,326763,2024-11-30,2025-02-09,23.06,DR-6454,5,East,699.93,11.46,61.08,30.35,63.04,7174.54,0,2025-05-15,290,In Repair,Low,48.12,489
VH-13585,Motorcycle,Kawasaki Z650,2024,Hybrid,534617,2024-07-30,2024-12-15,11.21,DR-1721,15,East,158.91,2.38,66.77,14.18,39.16,5486.29,0,2025-05-19,365.32,In Repair,High,49.38,446
VH-13586,Motorcycle,Kawasaki Z650,2023,Diesel,401885,2024-06-06,2024-08-21,14.5,DR-9031,20,West,938.1,33.05,28.38,64.7,170.42,960.11,9,2026-02-04,308.88,In Repair,Low,35.96,428
VH-13587,Bus,Mercedes Citaro,2017,Hybrid,125506,2024-06-16,2024-08-28,24.9,DR-9118,18,South,101.5,1.34,75.75,4.08,5.24,1734.93,6,2025-10-05,236.49,In Repair,High,44.26,505
VH-13588,Car,Honda Civic,2022,Hybrid,474664,2024-12-29,2025-05-14,6.2,DR-1754,17,East,530.8,5.98,88.76,85.61,255.1,1979.59,3,2025-08-05,78.6,In Repair,Low,15.76,257
VH-13589,Truck,Mercedes Actros,2009,Diesel,205678,2024-05-10,2024-08-26,21.09,DR-4468,34,West,663.66,19.46,34.1,31.47,83.02,3946.97,0,2026-01-27,224.6,In Repair,Medium,25.85,503
VH-13590,Motorcycle,Honda CB500X,2024,Petrol,106619,2024-09-22,2024-12-11,17.65,DR-3986,5,East,94.63,2.34,40.44,5.36,11.38,5295.3,2,2025-03-29,369.88,In Repair,High,10.32,264
VH-13591,Bus,Scania Citywide,2022,Electric,103494,2024-09-28,2024-12-26,13.71,DR-4069,24,East,896.67,8.76,102.36,65.4,222.09,5675.08,9,2025-05-31,313.27,In Repair,High,45.15,306
VH-13592,Van,Renault Trafic,2005,Diesel,34411,2024-10-25,2025-03-16,10.87,DR-5108,21,East,44.41,0.39,113.87,4.09,8.62,2802.36,7,2025-09-07,274.79,Active,High,33.58,962
VH-13593,Van,Ford Transit,2024,Petrol,512726,2024-10-16,2024-12-18,18.43,DR-3378,25,East,484.31,16.21,29.88,26.28,60.7,8736.63,6,2025-12-26,129.6,Active,Low,35.27,613
VH-13594,Van,Ford Transit,2013,Petrol,583307,2024-10-31,2025-02-22,23.65,DR-6409,24,North,960.81,14.68,65.45,40.63,115.97,3748.04,10,2025-10-13,177.26,In Repair,Medium,11.12,591
VH-13595,Motorcycle,Yamaha MT-07,2006,Hybrid,143769,2024-06-12,2024-07-17,18.91,DR-4006,6,South,206.35,7.03,29.35,10.91,26.86,9957.67,0,2026-02-13,319.68,Active,High,27.02,981
VH-13596,Bus,Volvo 7900,2020,Diesel,253282,2024-06-30,2024-11-19,13.72,DR-3741,30,South,736.46,22.79,32.32,53.68,175.21,1710.75,10,2025-11-19,213.51,In Repair,High,24.14,397
VH-13597,Truck,Scania R,2018,Diesel,437613,2025-01-03,2025-03-09,12.86,DR-8871,15,Central,414.33,5.45,76.02,32.22,77.99,1569.67,10,2025-06-07,261.03,Active,Low,10.48,730
VH-13598,Truck,Volvo FH,2016,Petrol,504204,2024-07-08,2024-11-16,18.65,DR-4364,8,North,806.51,10.01,80.57,43.24,140.03,4497.25,9,2025-10-27,371.02,In Repair,Low,15.39,718
VH-13599,Van,Mercedes Sprinter,2020,Electric,72408,2024-09-09,2025-02-05,16.44,DR-4079,16,Central,675.4,18.11,37.29,41.08,83.26,6704.43,8,2025-12-24,240.49,In Repair,High,41.69,105
VH-13600,Van,Renault Trafic,2019,Electric,56885,2024-06-14,2024-09-18,7.18,DR-8466,1,South,681.71,6.04,112.87,94.95,307.58,5041.91,8,2025-10-02,102.58,In Repair,High,33.2,415
VH-13601,Van,Ford Transit,2016,Electric,389967,2024-11-07,2024-12-07,18.23,DR-2269,34,East,471.46,6.11,77.16,25.86,50.04,3590.15,7,2025-03-31,304.28,Decommissioned,Low,18.14,339
VH-13602,Car,Ford Focus,2022,Diesel,113994,2024-06-09,2024-09-16,9.03,DR-4013,30,Central,842.61,33.12,25.44,93.31,130.41,1875.7,8,2025-12-31,125.08,Active,Low,21.23,194
VH-13603,Car,Toyota Corolla,2016,Electric,581147,2024-12-20,2025-05-24,4.95,DR-8084,7,West,701.08,8.51,82.38,141.63,339.7,7777.24,10,2025-08-09,139.18,In Repair,Low,11.6,553
VH-13604,Motorcycle,Kawasaki Z650,2021,Hybrid,396992,2024-09-29,2024-12-11,8.9,DR-9871,18,South,33.25,1.55,21.45,3.74,11.01,1557.62,9,2025-07-03,252.56,Decommissioned,Low,16.17,370
VH-13605,Truck,Mercedes Actros,2011,Petrol,288483,2024-10-25,2025-03-26,17.94,DR-3256,12,East,997.87,12.13,82.26,55.62,151.22,9308.8,7,2025-09-12,209.28,Active,Medium,40.06,937
VH-13606,Motorcycle,Yamaha MT-07,2023,Electric,470567,2024-10-14,2025-02-21,24.84,DR-6650,3,Central,41.31,1.23,33.59,1.66,4.64,8807.09,2,2025-11-07,86.28,In Repair,Medium,9.12,349
VH-13607,Bus,Mercedes Citaro,2009,Petrol,76682,2024-07-16,2024-10-21,16,DR-6158,19,West,71.74,0.93,77.14,4.48,5.9,8353.9,10,2025-08-08,299.22,In Repair,High,22.46,905
VH-13608,Motorcycle,Kawasaki Z650,2005,Hybrid,141625,2024-10-30,2025-04-23,24.46,DR-1523,10,South,507.38,9.41,53.92,20.74,48.23,2145.95,3,2025-11-18,244.94,In Repair,Low,41.78,838
VH-13609,Van,Renault Trafic,2012,Petrol,244881,2024-06-29,2024-12-09,16.37,DR-8306,34,North,733.89,14.74,49.79,44.83,80.65,2768.47,3,2025-09-28,363.92,Active,Medium,21.19,227
VH-13610,Motorcycle,Kawasaki Z650,2012,Diesel,57542,2024-06-14,2024-07-25,20.75,DR-5031,6,West,699.34,5.99,116.75,33.7,57.09,8515.75,7,2025-11-29,133.19,Active,Low,20.5,559
VH-13611,Car,Toyota Corolla,2008,Petrol,534318,2025-01-22,2025-06-17,5.59,DR-3039,28,South,320.74,3.99,80.39,57.38,167.36,3160.81,1,2025-04-24,261.35,Decommissioned,High,23.45,657
VH-13612,Truck,Mercedes Actros,2014,Diesel,244891,2024-02-28,2024-06-04,14.89,DR-3365,35,North,608.53,7.21,84.4,40.87,91.57,4695.39,3,2026-01-10,351.45,In Repair,Low,26.01,598
VH-13613,Van,Ford Transit,2008,Diesel,214204,2025-01-14,2025-03-20,6.4,DR-7990,17,South,958.07,9.03,106.1,149.7,315.37,946.32,5,2025-05-27,381.76,Decommissioned,High,17.1,811
VH-13614,Bus,Volvo 7900,2014,Petrol,515393,2024-09-16,2024-11-06,23.11,DR-1790,19,East,210.54,5.85,35.99,9.11,27.66,3496.11,1,2025-06-28,367.25,In Repair,Medium,14.09,132
VH-13615,Car,Ford Focus,2020,Diesel,457357,2024-06-27,2024-08-31,11.94,DR-4566,20,Central,380.11,3.4,111.8,31.84,54.38,2558.49,2,2026-01-29,234.79,Decommissioned,Low,34.03,665
VH-13616,Truck,Scania R,2019,Petrol,212143,2024-03-13,2024-08-04,15.47,DR-8867,17,East,623.48,6.69,93.2,40.3,123.15,9789.96,9,2025-04-15,320.3,In Repair,Medium,18.89,400
VH-13617,Bus,Volvo 7900,2007,Petrol,205031,2024-07-25,2024-09-01,12.72,DR-5396,26,East,497.79,14.47,34.4,39.13,118.37,8624.4,9,2026-01-13,304.26,Active,Medium,47.61,401
VH-13618,Motorcycle,Yamaha MT-07,2024,Diesel,489158,2024-07-31,2024-12-20,15.43,DR-8793,35,West,724.94,12.86,56.37,46.98,66.3,3375.6,3,2025-12-31,370.87,Decommissioned,High,42.35,56
VH-13619,Car,Toyota Corolla,2020,Electric,125540,2024-07-04,2024-11-24,20.56,DR-4410,27,Central,729.84,20.23,36.08,35.5,117.64,930.26,0,2025-09-25,201.56,Decommissioned,Medium,48.42,78
VH-13620,Bus,Volvo 7900,2013,Electric,505641,2024-12-02,2025-04-04,9.66,DR-9821,26,Central,914.8,23.35,39.18,94.7,218.37,9980.01,1,2026-01-17,374.45,In Repair,High,37.03,547
VH-13621,Car,Ford Focus,2024,Hybrid,105697,2024-10-16,2025-01-31,17.9,DR-1581,11,East,883.49,7.78,113.56,49.36,79.15,8370.04,9,2025-12-20,307.36,Decommissioned,Medium,38.22,83
VH-13622,Bus,Scania Citywide,2005,Petrol,70994,2024-09-19,2024-10-21,16.08,DR-8081,13,South,139.63,2.37,58.92,8.68,28.69,2261.68,7,2025-07-07,258.39,Decommissioned,High,42.8,536
VH-13623,Truck,Volvo FH,2022,Hybrid,378099,2024-05-12,2024-08-11,9.46,DR-6390,10,South,430.92,5.61,76.81,45.55,157.45,8756.33,0,2025-11-10,335.88,Decommissioned,High,20.76,978
VH-13624,Motorcycle,Yamaha MT-07,2005,Petrol,577880,2024-09-13,2024-12-31,20.52,DR-9182,24,South,503.64,5.51,91.4,24.54,57.27,4361.56,9,2025-04-29,93.42,Active,Low,39.48,811
VH-13625,Car,Honda Civic,2015,Diesel,400400,2024-10-08,2025-01-14,4.06,DR-9020,6,South,201.52,2.93,68.78,49.64,110.65,4264.03,1,2025-09-01,268.58,In Repair,High,35.98,524
VH-13626,Motorcycle,Kawasaki Z650,2017,Petrol,402820,2024-10-04,2025-01-26,5.59,DR-4186,21,Central,872.29,9.92,87.93,156.04,414.89,1743.3,0,2026-01-08,309.52,Active,Low,40.91,527
VH-13627,Truck,Volvo FH,2014,Petrol,211577,2024-06-17,2024-07-31,21.91,DR-4479,15,East,346.2,3.57,96.97,15.8,21.64,2322.14,10,2025-08-07,166.55,Decommissioned,Medium,26.75,891
VH-13628,Motorcycle,Yamaha MT-07,2006,Hybrid,422261,2024-05-02,2024-06-25,7.33,DR-2205,25,East,158.46,4.37,36.26,21.62,56.9,8140.64,8,2025-07-14,348.49,Decommissioned,Medium,42.42,321
VH-13629,Bus,Volvo 7900,2018,Petrol,104868,2024-06-23,2024-11-19,22.14,DR-7855,33,South,948.07,44.54,21.29,42.82,94.77,4791.25,8,2025-10-26,116.18,Decommissioned,Low,44.85,555
VH-13630,Bus,Volvo 7900,2012,Hybrid,130016,2024-04-03,2024-06-03,19.08,DR-3291,23,North,94.91,0.89,106.64,4.97,11.73,8861.45,7,2025-05-16,368.36,In Repair,Low,39.91,672
VH-13631,Bus,Scania Citywide,2014,Electric,23751,2024-04-01,2024-06-17,24.06,DR-5820,14,South,721.1,6.69,107.79,29.97,49.81,1580.01,8,2025-08-21,92.2,Active,Medium,26.84,163
VH-13632,Van,Mercedes Sprinter,2006,Electric,189883,2024-05-28,2024-10-28,15.75,DR-4493,13,West,921.96,9.27,99.46,58.54,179.85,7051.11,7,2025-04-30,382.1,Decommissioned,High,49.05,397
VH-13633,Motorcycle,Honda CB500X,2018,Hybrid,213410,2024-12-17,2025-03-29,16.48,DR-9534,9,South,554.59,27.06,20.49,33.65,60.83,4437.15,3,2025-07-25,62.79,In Repair,Low,16.19,894
VH-13634,Van,Mercedes Sprinter,2018,Diesel,71788,2024-12-14,2025-06-04,18.02,DR-5593,16,South,479.61,13.17,36.42,26.62,88.66,6122.18,0,2025-08-21,323.83,Active,Low,40.2,253
VH-13635,Bus,Scania Citywide,2016,Hybrid,325520,2024-03-28,2024-09-23,16.22,DR-6573,4,West,532.25,4.6,115.71,32.81,58.24,6325.09,5,2025-08-21,357.12,In Repair,Low,10.64,940
VH-13636,Bus,Volvo 7900,2014,Hybrid,55103,2024-11-21,2025-01-27,15.42,DR-4341,31,East,814.65,7.57,107.62,52.83,71.62,2127.88,9,2026-01-08,362.34,In Repair,High,16.37,339
VH-13637,Car,Honda Civic,2014,Electric,318981,2024-08-16,2024-11-04,14.1,DR-4020,11,South,726.66,13.24,54.88,51.54,118.31,5885.36,9,2025-12-08,282.43,Active,Medium,36.95,384
VH-13638,Bus,Volvo 7900,2015,Hybrid,155896,2024-06-07,2024-11-26,13.82,DR-9950,31,North,917.83,14.37,63.87,66.41,103.33,7793.09,7,2025-12-07,244.03,Active,Low,44.57,828
VH-13639,Bus,Volvo 7900,2022,Diesel,433401,2024-11-13,2025-03-15,14.17,DR-3509,10,West,507.63,7.19,70.6,35.82,111.7,1012.05,6,2026-02-10,222.66,In Repair,Medium,30.02,541
VH-13640,Motorcycle,Yamaha MT-07,2005,Petrol,560331,2024-05-28,2024-10-21,4.02,DR-9219,18,West,275.32,2.59,106.3,68.49,132.1,6175.95,0,2025-07-18,152.84,Active,High,13.6,890
VH-13641,Van,Mercedes Sprinter,2006,Electric,282805,2024-04-03,2024-08-07,6.09,DR-2999,4,West,346.24,4.25,81.47,56.85,112.62,4741.08,4,2025-06-09,391.09,In Repair,High,39.86,200
VH-13642,Bus,Mercedes Citaro,2010,Petrol,194104,2024-11-01,2025-03-01,19.62,DR-8826,2,South,600.94,22.92,26.22,30.63,81.53,9594.64,0,2025-11-26,177.38,Decommissioned,High,24.89,663
VH-13643,Van,Mercedes Sprinter,2008,Diesel,260723,2024-05-29,2024-09-26,5.8,DR-1152,33,West,951.77,25.25,37.69,164.1,293.84,8786.32,7,2025-09-29,182.12,Active,Low,45.13,903
VH-13644,Motorcycle,Yamaha MT-07,2023,Diesel,518889,2024-06-03,2024-07-30,21.03,DR-2950,26,East,128.2,1.65,77.7,6.1,17.95,1132.98,3,2025-05-05,106.24,In Repair,High,38.78,882
VH-13645,Motorcycle,Honda CB500X,2007,Electric,524116,2024-03-26,2024-07-29,20.73,DR-5135,6,Central,639.55,14.32,44.66,30.85,43.12,9986.24,2,2025-07-08,335.46,Active,High,5.03,521
VH-13646,Motorcycle,Kawasaki Z650,2009,Diesel,35231,2024-09-17,2024-12-24,6.49,DR-3402,1,West,559.02,5.4,103.52,86.14,207.34,4789.92,6,2025-06-28,256.42,Active,Medium,25.31,474
VH-13647,Truck,Mercedes Actros,2015,Diesel,564137,2025-01-04,2025-05-16,18.56,DR-4154,17,South,650.6,16.41,39.65,35.05,51.34,2130.64,5,2025-10-23,278.07,In Repair,High,30.47,110
VH-13648,Car,Toyota Corolla,2015,Petrol,282341,2024-06-29,2024-10-03,20.43,DR-8054,1,North,704.78,12.9,54.63,34.5,73.81,1253.03,0,2025-05-15,354.6,Active,High,7.41,746
VH-13649,Truck,Scania R,2012,Diesel,291162,2024-02-25,2024-08-07,14.78,DR-9149,19,South,189.45,1.68,112.77,12.82,40.65,6887.77,8,2025-04-06,213.42,Decommissioned,Low,12.9,259
VH-13650,Bus,Mercedes Citaro,2005,Diesel,44880,2024-04-19,2024-09-11,6.17,DR-7288,18,South,332.41,2.93,113.45,53.88,113.4,1849.38,1,2026-02-19,181.14,Decommissioned,Low,41.28,137
VH-13651,Truck,Scania R,2020,Diesel,480468,2024-04-09,2024-05-13,21.03,DR-1385,2,Central,733.34,9.43,77.77,34.87,117.53,7954.16,3,2025-09-22,220.98,Decommissioned,Medium,19.46,627
VH-13652,Motorcycle,Honda CB500X,2023,Diesel,501250,2024-09-06,2024-11-23,21.53,DR-5007,7,East,341.81,5.55,61.59,15.88,45.56,8439.99,5,2025-09-29,400,Active,Medium,24.97,602
VH-13653,Motorcycle,Yamaha MT-07,2021,Petrol,82559,2024-07-21,2024-12-12,6.14,DR-5341,24,North,75.83,0.86,88.17,12.35,27.55,9664.1,0,2025-06-08,324.91,Decommissioned,Medium,41.35,633
VH-13654,Motorcycle,Yamaha MT-07,2008,Petrol,225132,2024-03-08,2024-08-02,16.51,DR-9558,14,West,882.63,21.85,40.39,53.46,176.06,2208.89,7,2025-05-02,345.24,Decommissioned,Medium,35.78,762
VH-13655,Van,Renault Trafic,2023,Hybrid,202463,2024-05-30,2024-07-16,19.11,DR-4544,17,East,915.35,11.84,77.31,47.9,167.57,8747.46,0,2025-12-01,308.19,Decommissioned,Medium,27.58,691
VH-13656,Car,Toyota Corolla,2006,Electric,226275,2024-11-28,2025-04-22,9.49,DR-2699,15,South,892.22,7.86,113.51,94.02,299.13,754.14,4,2026-01-27,337.8,In Repair,High,46.73,425
VH-13657,Van,Renault Trafic,2020,Petrol,382525,2024-10-21,2025-01-21,22.38,DR-7100,35,West,293.32,8.15,35.99,13.11,27.66,8778.81,3,2026-01-27,123.12,In Repair,High,16.88,881
VH-13658,Bus,Volvo 7900,2010,Hybrid,531846,2024-12-20,2025-05-13,18.3,DR-5086,4,West,238.06,2.16,110.21,13.01,23.97,9585.67,9,2025-10-11,193.19,Decommissioned,High,30.13,481
VH-13659,Car,Ford Focus,2007,Hybrid,419311,2024-05-01,2024-10-06,9.92,DR-2961,34,East,773.95,11.23,68.92,78.02,115.65,7000.07,2,2025-08-10,174.83,Decommissioned,Medium,18.23,728
VH-13660,Truck,Mercedes Actros,2022,Diesel,560635,2024-06-30,2024-11-18,9.14,DR-9369,31,South,424.72,3.98,106.71,46.47,71.79,7211.79,7,2025-06-20,204.33,Active,Low,38.81,409
VH-13661,Truck,Mercedes Actros,2006,Petrol,143412,2024-07-31,2024-11-07,5.38,DR-1399,17,East,807.39,7.96,101.43,150.07,258.8,4103.26,9,2025-10-18,333.63,Decommissioned,Low,24.82,795
VH-13662,Van,Renault Trafic,2014,Electric,54413,2024-07-14,2025-01-03,19.83,DR-8302,14,East,239.4,2.14,111.87,12.07,18.98,3531.77,0,2025-07-30,337.18,Decommissioned,Medium,15.85,836
VH-13663,Motorcycle,Yamaha MT-07,2012,Diesel,349191,2024-06-28,2024-09-02,13.57,DR-6538,28,South,353.04,9.54,37.01,26.02,87.85,9651.89,5,2025-10-26,271.07,Decommissioned,Low,21.5,189
VH-13664,Motorcycle,Kawasaki Z650,2005,Petrol,108369,2024-04-22,2024-05-27,18.84,DR-1997,24,South,358.76,10.52,34.1,19.04,33.66,5113.64,0,2025-04-12,273.87,Active,High,16.4,859
VH-13665,Car,Ford Focus,2024,Petrol,304794,2024-10-08,2025-03-05,5.98,DR-7335,24,North,518.95,24.26,21.39,86.78,112.65,1295.33,0,2025-07-31,387.08,Decommissioned,Medium,41.83,753
VH-13666,Motorcycle,Honda CB500X,2015,Electric,409061,2024-04-08,2024-06-28,20.72,DR-8216,11,East,158.13,1.41,112.15,7.63,18.42,4165.47,10,2025-11-11,103.1,Decommissioned,Medium,26.21,470
VH-13667,Car,Ford Focus,2007,Electric,171657,2024-08-19,2024-10-08,22.04,DR-7721,12,West,686.25,8.23,83.38,31.14,59.74,8941.2,4,2025-04-06,63.54,Decommissioned,High,37.61,55
VH-13668,Bus,Volvo 7900,2022,Diesel,277466,2024-12-25,2025-03-29,16.81,DR-3318,2,West,519.74,5.77,90.08,30.92,74.07,1272.24,4,2025-05-02,149.29,Active,High,22.48,886
VH-13669,Truck,Mercedes Actros,2008,Electric,140726,2024-08-27,2024-12-13,14.07,DR-2913,20,South,777.38,10.18,76.36,55.25,119.69,6695.61,2,2025-12-19,298.93,In Repair,Medium,9.53,158
VH-13670,Truck,Mercedes Actros,2012,Petrol,182616,2024-10-07,2024-12-05,22.8,DR-3764,14,Central,805.08,9.92,81.16,35.31,104.36,7997.44,3,2025-08-14,395.2,In Repair,Medium,24.53,817
VH-13671,Truck,Scania R,2011,Hybrid,519884,2024-04-29,2024-08-07,18.91,DR-3126,16,East,742.14,18.99,39.08,39.25,103.51,1833.46,6,2025-08-03,389.55,Decommissioned,High,44.18,649
VH-13672,Motorcycle,Honda CB500X,2024,Petrol,475060,2024-07-10,2024-12-04,12.28,DR-4307,16,Central,556.86,9.66,57.65,45.35,146.78,4812.95,1,2025-10-04,132.81,In Repair,Medium,18.12,575
VH-13673,Van,Ford Transit,2005,Electric,269388,2024-11-27,2025-01-08,24.63,DR-8518,9,West,304.83,4.53,67.29,12.38,27.87,9746.6,10,2026-01-14,115.1,Active,High,33.9,616
